slot_utc,count,min_seconds,p25_seconds,p50_seconds,p75_seconds,p95_seconds,p99_seconds,max_seconds,within_1m_percent,within_15m_percent,within_30m_percent,within_1h_percent,over_1h_percent,finalized_expected_count,finalized_observed_count,missing_count,missing_percent
1650,41,711,1631,8073,10019,17343,30000,30000,0.00,9.76,26.83,34.15,65.85,40,40,0,0.00
1655,41,1158,1815,8277,9998,17251,29943,29943,0.00,0.00,24.39,34.15,65.85,40,40,0,0.00
1700,41,1184,1950,8211,9906,17100,29926,29926,0.00,0.00,19.51,34.15,65.85,40,40,0,0.00
1705,41,997,1738,7961,9664,16963,29778,29778,0.00,0.00,26.83,34.15,65.85,40,40,0,0.00
1710,41,1239,1894,8108,9778,16999,29866,29866,0.00,0.00,19.51,34.15,65.85,40,40,0,0.00
1715,41,1131,1915,7945,9571,16728,29672,29672,0.00,0.00,14.63,34.15,65.85,40,40,0,0.00
1720,41,1027,1747,7801,9338,16505,29441,29441,0.00,0.00,26.83,34.15,65.85,40,40,0,0.00
1725,41,874,1610,7673,9139,16258,29229,29229,0.00,2.44,26.83,34.15,65.85,40,40,0,0.00
1730,41,941,1672,7766,9224,16186,29163,29163,0.00,0.00,26.83,34.15,65.85,40,40,0,0.00
1735,41,914,1575,7647,9154,15964,28928,28928,0.00,0.00,26.83,34.15,65.85,40,40,0,0.00
1740,41,851,1364,7547,8916,15711,29146,29146,0.00,4.88,26.83,34.15,65.85,40,40,0,0.00
1745,41,467,1170,7188,8620,15398,28366,28366,0.00,12.20,26.83,34.15,65.85,40,40,0,0.00
1750,41,604,1621,7385,8393,15242,28619,28619,0.00,9.76,26.83,34.15,65.85,40,40,0,0.00
1755,41,347,1388,7130,8117,14950,28332,28332,0.00,9.76,26.83,34.15,65.85,40,40,0,0.00
1800,41,776,1413,7123,8201,14971,28375,28375,0.00,9.76,26.83,34.15,65.85,40,40,0,0.00
1805,41,1763,2470,8821,9793,16470,28828,28828,0.00,0.00,7.32,29.27,70.73,40,40,0,0.00
1810,41,1823,2583,9105,10059,16503,28687,28687,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
1815,41,1902,2626,9202,10209,16497,28531,28531,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
1820,41,1693,2504,9120,10175,16387,28292,28292,0.00,0.00,7.32,29.27,70.73,40,40,0,0.00
1825,41,1595,2549,9072,10261,16278,28095,28095,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
1830,41,1285,2235,8763,9956,15976,27785,27785,0.00,0.00,12.20,29.27,70.73,40,40,0,0.00
1835,41,1334,2193,8701,9916,15835,27711,27711,0.00,0.00,12.20,29.27,70.73,40,40,0,0.00
1840,41,1112,2191,8735,9736,15607,27484,27484,0.00,0.00,19.51,31.71,68.29,40,40,0,0.00
1845,41,910,1931,8501,9503,15351,27244,27244,0.00,0.00,19.51,34.15,65.85,40,40,0,0.00
1850,41,1189,1819,8361,9521,15169,27123,27123,0.00,0.00,24.39,31.71,68.29,40,40,0,0.00
1855,41,847,1509,8012,9183,14857,26809,26809,0.00,4.88,26.83,34.15,65.85,40,40,0,0.00
1900,41,897,1475,7943,9082,14648,26603,26603,0.00,2.44,26.83,34.15,65.85,40,40,0,0.00
1905,41,1311,2014,8411,9674,14717,30430,30430,0.00,0.00,19.51,34.15,65.85,40,40,0,0.00
1910,41,1161,1874,8363,9473,14451,30179,30179,0.00,0.00,24.39,34.15,65.85,40,40,0,0.00
1915,41,1048,1792,8215,9320,14212,29969,29969,0.00,0.00,26.83,34.15,65.85,40,40,0,0.00
1920,41,1143,1812,8291,9333,14073,29815,29815,0.00,0.00,24.39,34.15,65.85,40,40,0,0.00
1925,41,840,1514,7991,9033,13771,29512,29512,0.00,4.88,26.83,34.15,65.85,40,40,0,0.00
1930,41,1005,1633,8129,8986,13693,29351,29351,0.00,0.00,26.83,34.15,65.85,40,40,0,0.00
1935,41,830,1391,7882,8770,13453,29075,29075,0.00,7.32,26.83,34.15,65.85,40,40,0,0.00
1940,41,605,1130,7629,8516,13204,29464,29464,0.00,19.51,31.71,34.15,65.85,40,40,0,0.00
1945,41,627,1075,7548,8439,13191,29198,29198,0.00,17.07,26.83,34.15,65.85,40,40,0,0.00
1950,41,530,1311,7452,8274,12977,28916,28916,0.00,19.51,29.27,34.15,65.85,40,40,0,0.00
1955,41,745,1196,7329,8095,12727,28660,28660,0.00,12.20,29.27,34.15,65.85,40,40,0,0.00
